ZAMÓWIENIE NR: ZM_GLASS 0001/10/2025/???;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Dostawca:;;;;;;;;;;Odbiorca:;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Telefon: ;;;;;;;;;;;;;;;;;;
;;;Fax: ;;;;;;;;;;Fax: ;;;;;;;;
;;;EMail:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;;;;;33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;20,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
85;;BZ=1676 mm BW=1661 mm;;3928 mm;1; 6,58; 6,58;; 449,58;; 0,00;;; 0,00;; 0,00;478-2025:18:3;;;;
86;;1478 mm;;3928 mm;32; 5,81; 185,78;;12 688,25;; 0,00;;; 0,00;; 0,00;478-2025:19:3;;;;
87;;1663 mm;;3928 mm;1; 6,53; 6,53;; 446,14;; 0,00;;; 0,00;; 0,00;478-2025:19:1;;;;
88;;BZ=1985 mm BW=1970 mm;;3928 mm;1; 7,80; 7,80;; 532,48;; 0,00;;; 0,00;; 0,00;478-2025:19:4;;;;
89;;1478 mm;;3928 mm;6; 5,81; 34,83;;2 379,05;; 0,00;;; 0,00;; 0,00;478-2025:20:2;;;;
90;;1703 mm;;3928 mm;1; 6,69; 6,69;; 456,87;; 0,00;;; 0,00;; 0,00;478-2025:20:1;;;;
91;;BZ=1711 mm BW=1696 mm;;3928 mm;1; 6,72; 6,72;; 459,04;; 0,00;;; 0,00;; 0,00;478-2025:20:3;;;;
92;;1458 mm;;3928 mm;1; 5,73; 5,73;; 391,14;; 0,00;;; 0,00;; 0,00;478-2025:21:3;;;;
93;;1478 mm;;3928 mm;8; 5,81; 46,44;;3 172,06;; 0,00;;; 0,00;; 0,00;478-2025:21:2;;;;
94;;1698 mm;;3928 mm;1; 6,67; 6,67;; 455,53;; 0,00;;; 0,00;; 0,00;478-2025:21:1;;;;
Razem:;;;;;199;;1 122,67;;76 675,73;;;;;;; 0,00;Pozycji:;;;;44
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;3 (4);;;;;;;;;;01.10.2025;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
ZAMÓWIENIE NR: ZM_GLASS 0001/10/2025/ALUPROF S.A.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Dostawca:;;;;;;;;;;Odbiorca:;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
